Area,BHK,Bathroom,IsFurnished,Parking,Price,isApartment
700,2,2,0,1,2500000,1
990,3,2,1,1,4000000,1
450,2,1,0,1,3500000,0
1000,2,2,1,1,5000000,1
1700,4,3,0,2,29500000,0
1350,3,2,1,1,19000000,0
2100,4,3,1,1,25500000,1
2600,4,4,0,3,75000000,0
3000,4,5,0,4,75000000,0
1450,3,3,0,1,34000000,0
2050,4,4,0,1,47500000,0
3000,4,5,0,3,75000000,0
1800,3,3,0,2,23000000,1
900,3,2,0,1,24000000,1
1500,3,2,0,2,21500000,1
1500,3,2,0,1,28500000,0
1800,4,4,0,1,12500000,0
1674,3,3,1,1,45000000,0
2025,4,3,1,2,30500000,0
1300,3,3,0,3,22500000,0
990,3,3,1,1,28000000,1
2100,3,4,0,2,25000000,0
2250,4,4,0,2,33700000,0
1500,3,3,0,1,27000000,0
2700,4,4,0,2,43500000,0
1700,3,3,0,2,29000000,0
1700,3,3,0,2,30000000,0
2050,4,4,0,2,52100000,1
1800,3,3,1,1,32500000,0
1500,3,2,0,1,20500000,1
2000,4,3,0,1,25000000,1
1500,3,3,0,2,30000000,0
24300,4,5,0,2,51000000,0
2475,4,4,0,1,31000000,0
1800,3,3,0,,37500000,0
1300,3,3,0,1,32500000,0
1500,3,3,0,4,37500000,0
2100,4,4,0,3,55000000,0
1800,4,4,0,2,87500000,0
1100,2,2,1,1,16300000,1
2035,4,4,1,2,65000000,0
1100,3,3,1,1,25000000,0
1550,3,3,0,1,38000000,0
700,2,2,1,1,15000000,0
150,2,1,0,1,2000000,1
540,1,1,1,1,3000000,0
810,2,2,0,1,8500000,0
3250,4,4,0,1,55000000,0
1600,3,3,0,2,22500000,0
4000,4,4,0,1,72500000,0
5500,6,7,1,1,160000000,1
900,3,3,0,1,12500000,0
972,2,2,0,1,17000000,1
4150,4,4,1,3,82500000,0
2250,4,5,0,2,55000000,0
1650,3,3,0,1,35000000,0
2610,4,4,0,2,42500000,0
600,2,2,0,1,4700000,0
1700,4,5,1,2,52500000,0
2250,4,4,0,3,80000000,0
880,3,2,1,1,11000000,0
4200,4,5,0,3,74000000,0
1450,3,3,0,1,37500000,0
2200,4,4,0,3,52500000,0
1620,3,3,0,,26000000,0
1078,3,2,1,1,15500000,0
1710,3,3,1,1,22000000,0
1150,3,3,0,1,21000000,0
450,2,2,0,1,5000000,0
1818,3,3,1,1,22000000,0
1800,3,2,1,1,26500000,0
780,2,2,1,1,8770000,0
405,1,1,0,1,4500000,1
900,2,3,0,1,8500000,1
807.2925,2,2,1,1,8600000,1
2700,4,3,0,1,42500000,0
1100,3,2,0,2,13100000,1
585,2,2,1,2,7000000,1
2152.78,3,3,1,2,30000000,0
960,2,2,0,2,13000000,1
1800,4,3,1,2,23100000,0
1100,3,2,0,1,16000000,1
900,2,2,1,1,12500000,0
1620,3,3,1,1,24500000,0
378,1,1,1,1,3200000,1
800,3,2,1,1,6300000,1
1350,3,3,0,1,15000000,0
850,3,3,1,1,5700000,1
1580,3,2,1,1,21000000,1
820,2,3,1,1,7500000,1
594,2,1,0,1,6500000,1
14220,3,3,0,1,27500000,0
800,3,2,1,1,12000000,0
1500,3,2,0,2,18000000,1
1600,3,3,0,1,15600000,1
1650,3,3,0,1,15500000,1
1600,3,3,0,1,15200000,1
1900,3,3,1,1,25000000,1
1400,3,2,1,1,15000000,1
1550,3,2,0,1,15800000,1
2000,4,3,1,1,31500000,1
1500,3,3,0,1,14000000,1
1550,3,2,0,1,13200000,1
1600,3,2,0,1,15800000,1
1600,3,3,1,1,16200000,1
1800,3,2,0,1,15500000,1
1470,3,2,0,1,14500000,1
1500,3,2,0,1,14900000,1
1750,3,3,1,1,17200000,1
1650,3,3,1,1,18000000,1
1850,3,2,0,1,15500000,1
1480,3,2,1,1,15800000,1
1214,2,2,1,1,12600000,1
1380,3,2,0,1,15000000,1
1600,4,2,1,1,19500000,1
1585,3,3,0,1,16600000,1
1700,3,3,0,1,17200000,1
1200,2,2,0,1,13000000,1
1800,4,3,0,1,16500000,1
1000,2,2,0,1,10700000,1
1500,3,2,1,1,16200000,1
1700,3,2,1,1,16500000,1
1750,3,2,1,1,14900000,1
2700,4,3,1,1,27500000,1
3050,5,6,0,,62500000,1
3405,5,5,0,3,70000000,1
1500,3,3,0,3,35500000,1
2105,3,3,1,3,42100000,1
2500,4,5,0,3,42500000,1
2090,3,4,0,2,44000000,1
2525,4,5,0,3,43200000,1
2500,4,4,0,2,52500000,1
2100,3,4,1,2,34300000,1
2022,3,3,0,2,38000000,1
2650,4,5,1,2,52500000,1
1850,3,3,1,2,37500000,1
2100,3,3,0,2,37000000,1
1700,3,4,0,2,40000000,1
2105,3,3,0,2,36200000,1
1250,2,3,0,1,29000000,1
2552,4,5,1,3,42500000,1
3112,5,6,0,3,60000000,1
2125,3,3,0,2,36500000,1
2065,3,4,0,2,42500000,1
3405,5,4,0,3,71500000,1
3050,5,5,0,3,65000000,1
2300,5,6,0,3,58000000,1
1455,2,2,0,2,27500000,1
3400,5,5,0,3,70000000,1
3100,5,5,0,3,65000000,1
1400,2,3,1,3,28600000,1
2126,3,3,0,2,39000000,1
1815,3,3,0,2,32500000,1
1700,3,3,1,2,34000000,1
700,2,2,1,,16500000,1
980,2,2,0,2,13800000,1
1350,3,3,0,2,21000000,1
1800,3,3,0,2,22500000,1
968.751,2,2,0,2,15000000,1
1250,3,3,0,2,20000000,1
1800,3,3,1,2,20000000,1
1400,3,2,0,2,26000000,0
1000,3,3,0,2,19500000,1
1800,4,2,0,1,21500000,1
1500,3,3,1,1,26500000,1
1600,3,3,0,2,20000000,1
1400,3,3,1,1,18000000,1
1400,3,2,1,1,19000000,1
2700,4,4,1,2,36500000,0
1100,2,2,1,2,15000000,1
1200,2,2,0,2,17500000,1
1400,2,2,0,2,14000000,1
1500,3,3,0,2,21000000,1
1320,3,2,1,2,15600000,1
1300,3,3,1,2,19000000,1
1150,2,2,1,1,16500000,1
1440,3,3,1,1,19000000,1
1400,2,2,1,1,16500000,1
450,1,1,0,1,3000000,0
1300,2,2,0,1,15000000,1
1200,2,2,1,1,14300000,1
1300,3,2,1,1,18500000,1
1400,3,3,1,1,19000000,1
1400,3,3,0,1,19000000,1
1500,3,2,,1,13500000,
1600,4,2,0,2,15800000,1
1200,10,4,0,2,17000000,1
1600,4,2,0,1,15500000,1
1250,3,2,0,2,16000000,1
950,2,2,1,2,12900000,1
1200,3,3,1,2,13500000,1
1400,4,2,1,2,17800000,1
950,2,2,1,2,13200000,1
1350,3,3,0,2,14000000,1
1550,4,2,1,2,17500000,1
1300,3,2,0,2,17000000,1
1000,2,2,1,2,13000000,1
1500,3,3,1,2,17000000,1
950,2,2,1,2,12700000,1
1200,3,2,1,2,13500000,1
1400,4,2,1,2,17400000,1
1500,4,2,1,2,17800000,1
1050,2,2,1,2,12700000,1
1550,4,2,1,2,16200000,1
950,2,2,1,2,11100000,1
1150,2,2,1,2,13600000,1
1150,2,2,1,2,13100000,1
1150,2,2,1,2,12500000,1
1500,3,2,1,2,13600000,1
1800,4,4,1,2,12000000,1
1300,3,3,1,1,20000000,1
1150,2,2,1,1,13500000,1
1500,3,2,1,1,14000000,1
1150,2,2,0,2,10800000,1
900,3,2,0,1,9000000,0
1150,3,2,0,1,6300000,0
1000,3,3,0,1,5500000,1
450,1,1,0,1,2350000,1
1350,3,3,0,1,8500000,1
445,1,2,0,1,1650000,1
1200,2,2,0,1,10000000,1
50,1,1,1,1,1500000,0
1100,2,2,0,1,2800000,0
700,2,2,0,1,2600000,0
500,1,1,1,1,2350000,0
540,1,1,1,1,2350000,1
450,1,1,1,1,2000000,0
800,2,2,0,1,5000000,0
700,2,2,0,1,3500000,0
750,2,2,0,1,4500000,0
750,2,2,1,1,4000000,0
1600,3,3,1,1,10800000,0
1000,3,2,1,1,10000000,0
1600,3,3,1,1,10800000,0
900,3,2,0,1,9000000,0
1700,3,3,0,1,8500000,1
1100,3,2,0,1,6000000,0
1000,3,3,0,1,5500000,1
1000,3,2,0,1,7000000,0
1100,3,2,1,1,6000000,1
765,3,2,1,1,3700000,0
900,2,2,0,1,3100000,0
600,2,2,1,1,4500000,1
360,1,1,0,1,1500000,0
950,3,2,0,,7090000,0
3600,2,2,0,1,4500000,0
1305,4,3,1,1,5500000,0
1800,3,4,0,2,63000000,1
950,3,2,0,2,6990000,0
800,2,2,0,1,4400000,1
1800,4,4,0,1,12500000,0
800,2,2,0,1,3000000,0
675,2,2,0,1,2800000,0
1175,3,3,1,4,5000000,0
1500,3,3,1,4,6000000,0
810,2,2,1,4,4500000,1
630,2,2,1,1,2800000,1
650,2,2,0,1,2500000,0
1800,4,4,0,1,8500000,0
725,2,2,1,1,3000000,1
900,3,2,0,1,4900000,0
750,2,2,1,1,3500000,0
700,2,2,0,1,3000000,0
950,3,2,0,1,7020000,0
1600,3,4,1,1,60000000,1
900,2,2,0,1,3500000,0
1500,3,3,0,1,7000000,0
500,2,1,0,2,7000000,1
1035,3,3,0,1,4500000,0
825,3,2,0,1,5990000,0
1300,3,3,0,1,4400000,0
765,2,2,1,4,2500000,0
580,1,1,0,1,1600000,0
1750,3,3,0,1,6500000,0
650,2,2,0,,2750000,1
405,1,1,0,,1500000,1
675,2,1,1,,2200000,0
850,2,2,0,1,2800000,1
800,3,3,0,1,4500000,1
405,1,1,1,1,1800000,1
1350,3,3,1,1,8500000,0
1350,3,3,1,1,8500000,1
450,1,1,1,1,1700000,0
1300,3,3,0,2,7000000,0
1050,3,2,1,2,5600000,0
1675,4,3,1,2,13500000,0
1250,3,3,1,2,8500000,0
1080,3,3,1,5,6000000,1
1170,3,3,1,5,7200000,0
1250,3,2,0,1,6500000,1
1500,3,3,0,1,8400000,1
1350,3,3,1,1,8500000,1
855,2,2,0,1,4000000,0
540,1,1,1,1,1700000,0
1044.0983,3,2,1,1,6000000,0
405,1,1,0,1,1600000,1
500,1,2,0,1,2100000,1
450,1,1,1,1,1700000,1
